variedad,area_sembrada_ha,area_sembrada_cve,area_sembrada_ic95,pastoreo_continuo_ha,pastoreo_continuo_cve,pastoreo_continuo_ic95,pastoreo_rotacional_ha,pastoreo_rotacional_cve,pastoreo_rotacional_ic95,corte_ha,corte_cve,corte_ic95,banco_proteina_ha,banco_proteina_cve,banco_proteina_ic95,semilla_ha,semilla_cve,semilla_ic95,otro_ha,otro_cve,otro_ic95,no_informa_ha,no_informa_cve,no_informa_ic95,clima,prop_pastoreo_continuo,prop_pastoreo_rotacional,prop_corte,prop_banco_proteina,prop_semilla,prop_otro,prop_no_informa,uso_principal,clima_num
Brachiaria humidicola,3759377.79,8.26,608816.84,666007.67,14.65,191258.23,3074509.86,9.8,590284.5,5692.06,95.86,10694.87,0.0,0.0,0.0,7895.97,68.48,10598.64,5272.22,48.56,5018.18,0.0,0.0,0.0,calido,0.177159,0.817824,0.001514,0.0,0.0021,0.001402,0.0,pastoreo_rotacional,0
"Grama nativa, natural  o de sabana",3698604.95,10.65,771732.5,1783905.89,17.92,626675.39,1826271.01,14.2,508316.8,432.66,46.79,396.79,4.15,91.84,7.47,0.0,0.0,0.0,87991.24,46.51,80208.88,0.0,0.0,0.0,calido,0.482319,0.493773,0.000117,1e-06,0.0,0.02379,0.0,pastoreo_rotacional,0
Brachiaria decumbens,3504036.48,5.67,389393.99,726345.4,8.7,123910.87,2731535.79,6.97,373366.82,4791.93,73.47,6900.73,115.07,86.52,195.15,4951.26,69.68,6761.71,36297.02,22.66,16119.45,0.0,0.0,0.0,calido,0.207288,0.77954,0.001368,3.3e-05,0.001413,0.010359,0.0,pastoreo_rotacional,0
Colosuana (Bothriochloa pertusa),2177150.34,11.63,496466.82,197554.81,19.51,75559.09,1968217.96,12.83,494771.06,22.0,56.02,24.15,0.0,0.0,0.0,3442.24,75.85,5117.38,7913.33,55.25,8568.97,0.0,0.0,0.0,calido,0.09074,0.904034,1e-05,0.0,0.001581,0.003635,0.0,pastoreo_rotacional,0
Ángleton (Dichanthium aristatum),1542979.33,19.62,593296.2,308827.77,19.08,115498.42,1224949.59,24.43,586648.22,7424.55,59.83,8707.22,198.22,72.66,282.27,4.19,97.25,7.99,1575.02,22.84,705.02,0.0,0.0,0.0,calido,0.20015,0.793886,0.004812,0.000128,3e-06,0.001021,0.0,pastoreo_rotacional,0
Estrella (Cynodon nlemfuensis),1190308.66,8.47,197531.52,283576.16,15.44,85817.61,889441.76,9.47,165074.6,321.83,55.24,348.46,0.0,0.0,0.0,1138.67,99.52,2221.03,15830.24,25.26,7838.86,0.0,0.0,0.0,calido,0.238238,0.747236,0.00027,0.0,0.000957,0.013299,0.0,pastoreo_rotacional,0
Guaratara (Axonopus purpusii),1132683.72,26.37,585520.97,791993.57,35.57,552153.21,340690.15,32.82,219155.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,calido,0.699219,0.300781,0.0,0.0,0.0,0.0,0.0,pastoreo_continuo,0
Guinea o India (Panicum maximum),567733.75,12.02,133709.07,90968.31,24.87,44337.76,418449.1,12.25,100445.66,28198.78,47.49,26247.47,19.55,94.04,36.04,0.0,0.0,0.0,30098.0,98.97,58384.41,0.0,0.0,0.0,calido,0.160231,0.737052,0.049669,3.4e-05,0.0,0.053014,0.0,pastoreo_rotacional,0
Pasto llanero (Brachiaria dictyoneura),522727.3,16.61,170151.82,79402.13,65.95,102638.38,430729.55,16.3,137596.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12595.62,86.79,21426.08,0.0,0.0,0.0,calido,0.1519,0.824004,0.0,0.0,0.0,0.024096,0.0,pastoreo_rotacional,0
Puntero o Uribe (Hyparrhenia rufa),521280.06,15.04,153617.75,98339.02,24.19,46621.74,406635.95,17.86,142342.45,69.69,49.01,66.94,0.0,0.0,0.0,0.0,0.0,0.0,16235.4,71.65,22800.68,0.0,0.0,0.0,calido,0.188649,0.780072,0.000134,0.0,0.0,0.031145,0.0,pastoreo_rotacional,0
Brachiaria brizantha,448204.63,21.0,184454.08,86556.02,31.05,52673.74,353743.52,25.46,176549.62,1.73,96.86,3.29,0.0,0.0,0.0,2016.72,98.21,3882.16,5886.65,70.53,8137.35,0.0,0.0,0.0,calido,0.193117,0.789246,4e-06,0.0,0.0045,0.013134,0.0,pastoreo_rotacional,0
Pasto Tanner (Brachiaria arrecta),402298.24,16.67,131424.13,106817.27,25.58,53560.55,292434.53,20.97,120190.01,141.34,87.23,241.66,0.0,0.0,0.0,0.0,0.0,0.0,2905.1,60.11,3422.5,0.0,0.0,0.0,calido,0.265518,0.72691,0.000351,0.0,0.0,0.007221,0.0,pastoreo_rotacional,0
Panameño (Ischaemum indicum),233938.13,34.77,159406.04,17637.45,49.02,16945.6,216193.13,37.87,160474.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,107.55,95.21,200.71,0.0,0.0,0.0,calido,0.075394,0.924147,0.0,0.0,0.0,0.00046,0.0,pastoreo_rotacional,0
Dallis (Paspalum dilatatum),115434.02,22.74,51449.64,31653.28,62.27,38634.91,82560.06,23.24,37598.93,65.97,70.58,91.26,1154.72,86.04,1947.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,calido,0.274211,0.715214,0.000571,0.010003,0.0,0.0,0.0,pastoreo_rotacional,0
Climacuna (Dichanthium annulatum),109061.79,23.63,50521.86,6293.73,34.82,4295.05,102484.58,24.74,49700.55,243.83,98.8,472.18,0.0,0.0,0.0,0.0,0.0,0.0,39.65,62.3,48.41,0.0,0.0,0.0,calido,0.057708,0.939693,0.002236,0.0,0.0,0.000364,0.0,pastoreo_rotacional,0
Otras gramíneas de clima cálido,438986.18,13.34,114742.29,175769.65,26.15,90103.31,255220.29,14.37,71906.19,3984.84,37.12,2899.31,0.0,0.0,0.0,0.0,0.0,0.0,4011.4,34.09,2680.3,0.0,0.0,0.0,calido,0.400399,0.581386,0.009077,0.0,0.0,0.009138,0.0,pastoreo_rotacional,0
Pastos de corte de clima cálido,111040.52,15.21,33106.5,10043.36,34.73,6836.42,55612.36,28.54,31107.45,43439.81,7.25,6173.67,255.41,81.89,409.97,54.32,99.42,105.86,1635.25,25.62,821.0,0.0,0.0,0.0,calido,0.090448,0.500829,0.391207,0.0023,0.000489,0.014727,0.0,pastoreo_rotacional,0
Leguminosas forrajeras de clima cálido,4664.18,74.54,6814.65,532.15,78.7,820.85,3560.72,96.7,6748.47,324.96,63.72,405.86,132.48,38.78,100.7,0.0,0.0,0.0,113.86,99.21,221.4,0.0,0.0,0.0,calido,0.114093,0.763418,0.069671,0.028404,0.0,0.024412,0.0,pastoreo_rotacional,0
Kikuyo (Pennisetum clandestinum),2952117.71,8.03,464656.27,877530.54,17.1,294129.32,2047308.02,8.7,349202.48,1271.71,17.04,424.79,216.61,62.49,265.32,82.18,87.49,140.93,25708.65,20.01,10081.16,0.0,0.0,0.0,frio,0.297255,0.693505,0.000431,7.3e-05,2.8e-05,0.008709,0.0,pastoreo_rotacional,1
Falsa poa (Holcus lanatus),139225.8,14.31,39053.36,24109.29,41.49,19606.25,113514.51,14.29,31791.87,289.49,29.85,169.38,0.0,0.0,0.0,0.0,0.0,0.0,1312.51,53.21,1368.9,0.0,0.0,0.0,frio,0.173167,0.815327,0.002079,0.0,0.0,0.009427,0.0,pastoreo_rotacional,1
Ryegrass (Lolium sp.),96615.92,13.7,25947.62,9042.34,44.03,7802.57,86742.93,14.54,24726.15,801.47,29.07,456.67,0.0,0.0,0.0,0.0,0.0,0.0,29.19,96.94,55.46,0.0,0.0,0.0,frio,0.093591,0.897812,0.008295,0.0,0.0,0.000302,0.0,pastoreo_rotacional,1
Tréboles,35889.93,27.62,19427.2,2304.69,51.1,2308.19,33498.89,28.22,18529.02,3.83,56.98,4.28,12.28,97.0,23.35,0.0,0.0,0.0,70.24,69.58,95.8,0.0,0.0,0.0,frio,0.064216,0.933379,0.000107,0.000342,0.0,0.001957,0.0,pastoreo_rotacional,1
Otras gramíneas de clima frío,36838.21,28.44,20531.23,3626.17,36.95,2625.87,32985.26,31.42,20311.14,80.08,46.27,72.63,26.84,95.32,50.14,0.0,0.0,0.0,119.86,88.64,208.23,0.0,0.0,0.0,frio,0.098435,0.895409,0.002174,0.000729,0.0,0.003254,0.0,pastoreo_rotacional,1
Otras leguminosas de clima frío,5395.51,26.77,2831.05,390.05,59.17,452.34,2848.08,39.57,2209.07,2124.34,40.01,1665.77,33.03,38.34,24.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,frio,0.072292,0.527861,0.393724,0.006122,0.0,0.0,0.0,pastoreo_rotacional,1
Otros cultivos forrajeros,37607.75,13.88,10233.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37607.75,13.88,10233.69,frio,0.0,0.0,0.0,0.0,0.0,0.0,1.0,pastoreo_continuo,1
Otras especies de pastos o forrajes,191935.67,15.72,59136.26,31281.29,26.69,16365.36,158791.53,18.26,56839.83,433.61,32.43,275.61,2.97,98.05,5.71,0.0,0.0,0.0,1426.27,61.0,1705.16,0.0,0.0,0.0,frio,0.162978,0.827316,0.002259,1.5e-05,0.0,0.007431,0.0,pastoreo_rotacional,1
